Timestamp,City,name,lat,lon,co,dew,h,no2,o3,p,pm10,pm25,r,so2,t,w,time
2025-02-20 12:00:15,Mueang Khon Kaen,"Khonkaen, Thailand (ส่วนอุทกวิทยา สำนักงานทรัพยากรน้ำภาค 4 ขอนแก่น)",16.44538333,102.83525,,18.7,57.0,,,993.7,40.0,97.0,0.6,,28.0,3.0,2025-02-20 18:00:00
2025-02-20 12:00:16,Nong Khai,"T.Meechai A.Muang Nongkhai Province, Thailand (ต.มีชัย อ.เมืองหนองคาย จ.หนองคาย)",17.87748,102.728925,0.1,17.5,56.1,1.2,8.3,996.2,43.0,85.0,,0.6,27.0,2.5,2025-02-20 18:00:00
2025-02-20 12:00:16,Kanchanaburi,"Pak Prak, Kanchanaburi, Kanchanaburi, Thailand (ต.ปากแพรก อ.เมือง จ.กาญจนบุรี)",14.022376,99.536195,0.1,23.1,64.0,,6.7,1011.2,47.0,60.0,,,30.7,1.0,2025-02-20 18:00:00
2025-02-20 12:00:17,Suphan Buri,"Suphan Buri Provincial Central Stadium, Thailand (สนามกีฬากลางจังหวัดสุพรรณบุรี)",14.476214,100.086095,0.1,22.3,64.2,4.1,5.2,1013.6,15.0,53.0,,0.6,29.8,2.0,2025-02-20 18:00:00
2025-02-20 12:00:18,Nakhon Sawan,"Nakhonsawan Irrigation , Nakhon Sawan, Thailand (โครงการชลประทานนครสวรรค์)",15.68623,100.110556,0.1,23.2,65.1,7.0,14.2,1011.2,70.0,93.0,99.3,0.6,30.5,1.5,2025-02-20 18:00:00
2025-02-20 12:00:18,Phitsanulok,"Chom Nan Chaloem Phrakiat Public Park, Thailand (สวนชมน่านเฉลิมพระเกียรติ)",16.820833,100.258056,0.1,23.8,75.3,4.7,15.4,1009.0,67.0,153.0,,0.6,28.6,2.0,2025-02-20 18:00:00
2025-02-20 12:00:19,Lamphun,"Provincial Administrative Stadium, Lamphun, Thailand (สนามกีฬาองค์การบริหารส่วนจังหวัดลำพูน)",18.567194,99.038639,,19.6,64.0,0.6,4.8,981.5,82.0,118.0,,0.6,27.0,1.5,2025-02-20 18:00:00
2025-02-20 12:00:20,Lampang,"Lampang Meteorological Station, Thailand (สถานีอุตุนิยมวิทยาลำปาง)",18.2783333,99.5064666,0.1,21.6,71.9,1.8,11.5,988.1,75.0,134.0,0.8,0.6,27.1,1.0,2025-02-20 18:00:00
2025-02-20 12:00:20,Phayao,"Knowledge Park, Phayao, Thailand (อุทยานการเรียนรู้กว๊านพะเยา)",19.200226,99.893048,0.1,20.4,69.2,6.4,13.1,969.7,77.0,106.0,,,26.5,2.5,2025-02-20 18:00:00
2025-02-20 12:00:21,Bangkok,Bangkok,13.7563309,100.5017651,0.1,,8.1,1.2,13.4,1013.5,51.0,119.0,0.2,0.6,32.9,1.0,2025-02-20 18:00:00
