station_code,station_name,latitude,longitude,basin,sub_basin,tambon,amphoe,province,station_type_telem,start_datetime,end_datetime,agency_name,sponsor_by
MOU051,หน่วยจัดการต้นน้ำแม่ถา,18.516388,100.40299,น่าน,น้ำสา,ยาบหัวนา,เวียงสา,น่าน,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU052,ที่ทำการอุทยานแห่งชาติดอยขุนตาล,18.495716,99.27012,ปิง,น้ำแม่กวง,ทาปลาดุก,แม่ทา,ลำพูน,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU053,สะพานน้ำมวบ บ้านน้ำมวบ,18.484367,100.93808,น่าน,แม่น้ำน่านส่วนที่ 3/2,น้ำมวบ,เวียงสา,น่าน,W,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU054,ที่ทำการเขตรักษาพันธุ์สัตว์ป่าดอยหลวง,18.434032,100.11428,ยม,แม่น้ำยมตอนกลางส่วนที่ 1,ห้วยหม้าย,สอง,แพร่,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU055,หน่วยจัดการต้นน้ำขุนแม่แจ่ม,19.016296,98.413284,ปิง,น้ำแม่แจ่มตอนบน,แม่แดด,กัลยาณิวัฒนา,เชียงใหม่,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU056,หน่วยจัดการต้นน้ำสวนป่าสิริกิติ์,18.36419,98.46656,ปิง,น้ำแม่กลาง,กองแขก,แม่แจ่ม,เชียงใหม่,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU057,หน่วยจัดการต้นน้ำขุนสถาน,18.260094,100.54344,น่าน,น้ำแหง,สันทะ,นาน้อย,น่าน,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU058,หน่วยศึกษาการพัฒนาการอนุรักษ์ต้นน้ำแม่ถาง,18.246656,100.35791,ยม,แม่น้ำยมตอนกลางส่วนที่ 2,น้ำเลา,ร้องกวาง,แพร่,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU059,ที่ทำการอุทยานแห่งชาติดอยผากลอง,18.15246,99.98731,ยม,น้ำแม่ต้า,ต้าผามอก,ลอง,แพร่,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU060,หน่วยพิทักษ์อุทยานฯ ที่ ผก.๒ (ถ้ำเอราวัณ-แก่งหลวง),18.036478,99.94223,ยม,แม่น้ำยมตอนกลางส่วนที่ 2,บ้านปิน,ลอง,แพร่,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU061,หน่วยพิทักษ์อุทยานแห่งชาติ ที่ วศ.๑ (แม่แขม),18.031418,99.70316,ยม,แม่น้ำยมตอนล่างส่วนที่ 1,บ่อเหล็กลอง,ลอง,แพร่,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU062,หน่วยพิทักษ์ป่าน้ำสาว,19.044817,100.49136,ยม,แม่น้ำควน,ขุนควร,ปง,พะเยา,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU063,ที่ทำการอุทยานแห่งชาติเวียงโกศัย,17.966305,99.59616,ยม,แม่น้ำยมตอนล่างส่วนที่ 1,แม่เกิ๋ง,วังชิ้น,แพร่,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU064,หน่วยศึกษาการพัฒนาการอนุรักษ์ต้นน้ำแม่สูง,17.804287,99.82809,ยม,ห้วยแม่สิน,นาพูน,วังชิ้น,แพร่,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
MOU065,หน่วยศึกษาการพัฒนาการอนุรักษ์ต้นน้ำผาเวียง,17.730162,99.57418,ยม,แม่น้ำยมตอนล่างส่วนที่ 2,แม่สิน,ศรีสัชนาลัย,สุโขทัย,R,2020-03-19 09:08:58,-,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)
